"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, October to December 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,16700,,6570,5760,680,130,,7310,1780,3660,1860,,1420,410,100,320,560
E12000007,London,,2870,,1640,1460,160,20,,510,210,90,200,,310,70,10,60,270
-,Rest of England,,13830,,4930,4300,520,100,,6800,1570,3560,1660,,1110,350,90,260,290
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,900,,200,200,0,0,,600,210,280,120,,50,10,10,10,20
E12000002,North West,,2350,,700,640,50,10,,1340,150,940,240,,160,60,20,30,40
E12000003,Yorkshire and The Humber,,2070,,640,580,50,10,,930,220,360,350,,270,140,20,40,40
E12000004,East Midlands,,1430,,420,350,60,10,,800,270,340,190,,120,40,10,30,10
E12000005,West Midlands,,1120,,260,210,50,0,,630,180,330,120,,70,10,10,40,100
E12000006,East of England,,1830,,720,590,120,20,,870,260,400,200,,160,20,10,30,20
E12000007,London,,2870,,1640,1460,160,20,,510,210,90,200,,310,70,10,60,270
E12000008,South East,,2400,,1230,1060,130,40,,870,170,500,210,,180,40,10,40,40
