"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, October to December 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,End of private rented tenancy - assured shorthold,,,,,,,,,,,,,,,End of private rented tenancy - not assured shorthold,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,End of social rented tenancy,,,,,Eviction from supported housing,,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,,,32000,,11770,,720,80,320,200,680,,270,7610,200,90,110,1490,,1250,7660,1720,2470,570,,1470,1010,140,330,,1040,100,360,590,,620,320,3110
E12000007,London,,,5560,,1920,,110,20,50,90,110,,30,1100,50,20,10,330,,230,1550,140,320,90,,350,260,10,70,,140,10,50,80,,50,50,740
-,Rest of England,,,26440,,9850,,610,60,260,100,580,,240,6520,150,70,100,1160,,1020,6100,1590,2150,490,,1120,750,120,260,,900,90,310,510,,580,270,2370
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,2180,,610,,90,0,10,10,40,,10,350,20,10,10,60,,60,560,170,270,100,,90,50,10,40,,80,0,30,40,,60,50,120
E12000002,North West,,,4530,,1660,,90,10,40,20,130,,40,1100,20,20,20,180,,190,1080,260,400,60,,240,190,20,30,,120,10,40,70,,100,60,340
E12000003,Yorkshire and The Humber,,,3390,,1070,,80,10,20,10,50,,20,680,20,10,40,130,,70,830,200,370,80,,80,40,20,30,,160,20,50,80,,110,90,320
E12000004,East Midlands,,,2670,,1050,,70,10,30,10,50,,20,720,10,10,10,130,,80,610,180,230,50,,80,50,10,20,,110,10,40,70,,70,30,200
E12000005,West Midlands,,,2340,,850,,30,0,20,10,40,,10,610,20,10,0,90,,80,520,110,180,60,,130,90,10,30,,70,0,20,50,,30,20,290
E12000006,East of England,,,3470,,1260,,60,10,30,10,80,,30,830,10,10,10,160,,150,930,190,210,40,,200,130,20,50,,130,20,30,80,,40,20,300
E12000007,London,,,5560,,1920,,110,20,50,90,110,,30,1100,50,20,10,330,,230,1550,140,320,90,,350,260,10,70,,140,10,50,80,,50,50,740
E12000008,South East,,,4460,,1830,,130,10,60,20,150,,60,1130,30,10,10,230,,240,970,290,280,60,,190,140,20,30,,130,10,40,70,,70,10,410
E12000009,South West,,,3400,,1520,,70,10,30,10,50,,50,1100,20,0,10,180,,150,610,180,220,30,,100,60,10,40,,120,10,50,50,,100,0,380
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,Adur,,,14,,10,,1,0,0,0,0,,0,7,1,0,0,1,,0,4,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0
E07000026,Allerdale,,,54,,26,,0,0,1,0,0,,2,19,0,0,0,4,,2,6,5,4,2,,1,0,1,0,,1,0,1,0,,3,0,4
E07000032,Amber Valley,,,74,,22,,0,0,0,1,2,,0,16,0,0,0,3,,2,16,6,13,3,,3,1,0,2,,4,1,1,2,,1,0,4
E07000224,Arun,,,98,,42,,2,0,0,0,1,,3,33,1,1,0,1,,4,18,4,5,3,,1,0,0,1,,3,0,2,1,,12,0,6
E07000170,Ashfield,,,34,,23,,0,0,0,0,0,,0,23,0,0,0,0,,1,5,1,2,0,,1,1,0,0,,1,0,1,0,,0,0,0
E07000105,Ashford,,,77,,27,,2,1,1,0,5,,0,15,2,0,0,1,,4,19,8,8,3,,2,1,0,1,,1,0,1,0,,0,0,5
E07000200,Babergh,,,52,,11,,1,0,0,0,0,,1,8,0,1,0,0,,3,13,6,5,2,,7,7,0,0,,0,0,0,0,,0,0,5
