"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, July to September 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,16050,,6030,5240,670,130,,7010,1710,3520,1780,,1520,490,110,330,550
E12000007,London,,3060,,1730,1510,200,30,,590,240,160,190,,290,80,10,70,300
-,Rest of England,,12990,,4300,3730,470,100,,6420,1470,3360,1590,,1230,420,100,260,250
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,1070,,250,250,0,0,,600,290,220,90,,110,40,10,20,20
E12000002,North West,,2260,,620,560,50,10,,1300,120,920,250,,190,60,20,30,30
E12000003,Yorkshire and The Humber,,1990,,560,490,60,10,,930,250,290,390,,280,140,10,40,40
E12000004,East Midlands,,1290,,350,300,40,10,,740,220,340,170,,130,40,10,20,10
E12000005,West Midlands,,1090,,260,200,60,0,,610,140,350,130,,60,20,10,30,90
E12000006,East of England,,1680,,610,490,100,20,,820,210,410,200,,160,40,10,30,20
E12000007,London,,3060,,1730,1510,200,30,,590,240,160,190,,290,80,10,70,300
E12000008,South East,,2090,,1030,880,100,40,,740,150,420,170,,200,40,10,40,30
