"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, January to March 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,17710,,6880,5940,800,140,,7300,1710,3750,1840,,2000,590,150,460,340
E12000007,London,,3330,,1990,1710,240,40,,560,220,170,170,,420,100,10,130,130
-,Rest of England,,14380,,4900,4230,560,110,,6740,1490,3580,1670,,1580,490,140,330,210
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,1140,,290,290,0,0,,690,250,300,130,,100,30,10,10,10
E12000002,North West,,2540,,710,640,70,10,,1480,110,1040,320,,180,60,30,40,40
E12000003,Yorkshire and The Humber,,2360,,630,550,70,10,,890,240,280,380,,510,230,20,30,50
E12000004,East Midlands,,1460,,430,350,80,10,,780,280,330,170,,150,50,10,40,10
E12000005,West Midlands,,1220,,310,250,60,10,,620,180,340,110,,130,30,20,70,50
E12000006,East of England,,1710,,650,530,100,20,,800,200,420,180,,190,30,10,20,20
E12000007,London,,3330,,1990,1710,240,40,,560,220,170,170,,420,100,10,130,130
E12000008,South East,,2210,,1180,1020,130,40,,740,130,450,160,,180,40,10,50,20
