"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, April to June 2020",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,"Total owed a prevention duty1,2",,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,,,26190,,4800,,310,50,270,200,420,,140,2350,80,80,110,800,,630,8620,2070,2350,590,,940,640,90,210,,600,50,280,270,,400,170,5040
E12000007,London,,,6000,,1050,,50,20,50,50,70,,20,490,30,10,20,260,,130,2150,180,320,80,,150,120,10,30,,70,0,20,40,,60,30,1790
-,Rest of England,,,20190,,3750,,260,30,220,140,360,,120,1860,60,70,90,540,,500,6470,1890,2030,510,,790,530,90,180,,530,40,260,230,,340,140,3250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,1440,,310,,20,0,40,70,50,,10,70,10,10,10,30,,10,380,150,240,60,,30,20,10,10,,40,0,20,10,,30,20,190
E12000002,North West,,,3190,,530,,40,0,30,10,50,,20,270,10,10,10,80,,60,1090,270,300,70,,200,160,10,30,,60,0,40,20,,60,50,500
E12000003,Yorkshire and The Humber,,,2950,,450,,30,10,10,10,40,,10,240,10,20,40,40,,30,1030,320,390,130,,110,50,20,40,,90,10,50,30,,60,40,300
E12000004,East Midlands,,,1970,,400,,50,10,20,10,30,,10,200,10,10,10,60,,50,630,180,210,40,,90,60,10,20,,80,10,40,30,,50,20,220
E12000005,West Midlands,,,2020,,330,,10,0,20,10,20,,10,190,0,10,0,70,,40,680,180,220,70,,40,10,10,10,,30,0,20,20,,20,10,410
E12000006,East of England,,,2450,,480,,40,0,20,10,30,,20,260,0,10,20,80,,90,820,240,200,40,,120,90,10,20,,80,10,30,50,,20,0,350
E12000007,London,,,6000,,1050,,50,20,50,50,70,,20,490,30,10,20,260,,130,2150,180,320,80,,150,120,10,30,,70,0,20,40,,60,30,1790
E12000008,South East,,,3760,,770,,50,10,50,20,90,,30,390,10,10,10,120,,120,1180,300,290,50,,110,70,10,30,,70,10,20,40,,40,0,830
E12000009,South West,,,2410,,490,,30,0,30,10,50,,20,240,10,10,10,80,,100,660,260,180,40,,100,70,10,20,,80,10,50,30,,50,0,450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
