,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking & Dagenham,,,216,,49,,0,0,0,0,6,,0,38,0,1,1,3,,4,84,12,18,4,,3,1,1,1,,3,0,0,3,,1,11,27
E09000003,Barnet,,,245,,81,,5,1,3,4,7,,1,51,1,0,0,8,,7,43,2,26,6,,1,0,0,1,,5,0,0,5,,0,0,74
E08000016,Barnsley,,,70,,9,,0,0,1,0,2,,2,3,0,0,0,1,,0,21,3,7,2,,1,1,0,0,,2,0,1,1,,8,5,12
E07000027,Barrow-in-Furness,,,33,,7,,1,0,0,0,1,,0,4,0,0,1,0,,1,8,9,2,1,,1,0,0,1,,2,0,0,2,,2,0,0
E07000066,Basildon,,,43,,7,,0,0,1,0,0,,0,3,0,0,1,2,,0,19,5,12,0,,0,0,0,0,,0,0,0,0,,0,0,0
E07000084,Basingstoke & Deane,,,55,,9,,0,0,2,0,0,,0,5,0,0,1,1,,3,16,3,4,1,,5,5,0,0,,4,1,2,1,,1,0,9
E07000171,Bassetlaw,,,16,,7,,0,0,1,0,1,,0,3,0,0,0,2,,1,4,1,1,0,,0,0,0,0,,1,0,0,1,,0,0,1
E06000022,Bath & North East Somerset,,,52,,21,,1,0,0,0,1,,2,15,0,0,1,1,,2,21,1,0,0,,0,0,0,0,,2,0,2,0,,1,0,4
E06000055,Bedford,,,94,,30,,1,0,0,0,4,,0,22,0,0,0,3,,2,33,5,6,3,,4,2,2,0,,3,1,2,0,,0,0,8
E09000004,Bexley,,,70,,16,,2,0,2,0,0,,1,10,0,0,0,1,,4,36,2,2,0,,5,2,0,3,,0,0,0,0,,0,0,5
E08000025,Birmingham,,,325,,51,,0,0,0,0,2,,0,33,1,0,0,15,,13,115,17,6,14,,3,1,0,2,,15,0,7,8,,2,6,83
E07000129,Blaby,,,35,,6,,1,0,1,0,0,,0,3,0,0,0,1,,1,2,0,2,2,,0,0,0,0,,0,0,0,0,,1,0,21
E06000008,Blackburn with Darwen,,,190,,31,,4,0,1,0,1,,1,15,0,2,0,7,,6,63,18,23,5,,8,1,0,7,,15,0,6,9,,1,6,14
E06000009,Blackpool,,,96,,38,,4,0,0,2,3,,7,11,1,0,2,8,,2,12,7,7,1,,1,0,1,0,,0,0,0,0,,1,0,27
E07000033,Bolsover,,,27,,19,,0,0,1,1,0,,0,17,0,0,0,0,,0,5,1,2,0,,0,0,0,0,,0,0,0,0,,0,0,0
E08000001,Bolton,,,137,,17,,0,0,0,1,0,,1,14,0,0,0,1,,4,36,6,17,4,,1,0,0,1,,0,0,0,0,,0,5,47
E07000136,Boston,,,18,,4,,0,0,0,0,1,,1,0,0,0,0,2,,0,4,5,2,0,,1,0,0,1,,1,0,0,1,,0,0,1
E06000058,"Bournemouth, Christchurch and Poole",,,265,,113,,6,0,2,0,6,,10,71,1,0,0,17,,14,56,7,12,3,,4,0,2,2,,7,0,5,2,,0,0,49
E06000036,Bracknell Forest,,,140,,23,,1,0,2,0,2,,1,12,0,1,0,4,,3,35,7,4,3,,3,1,1,1,,5,1,2,2,,0,0,57
E08000032,Bradford,,,519,,100,,3,0,2,0,2,,0,70,4,1,3,15,,13,101,22,45,11,,9,2,1,6,,14,1,8,5,,3,95,106
E07000067,Braintree,,,68,,20,,2,0,1,1,2,,0,13,0,0,0,1,,5,16,7,3,0,,7,6,0,1,,2,0,0,2,,0,0,8
E07000143,Breckland,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
E09000005,Brent,,,359,,95,,1,2,1,2,7,,4,36,1,1,1,39,,18,94,7,29,8,,13,0,1,12,,5,0,0,5,,0,1,89
E07000068,Brentwood,,,15,,4,,0,0,0,1,0,,0,3,0,0,0,0,,0,5,2,1,0,,0,0,0,0,,1,0,0,1,,0,0,2
E06000043,Brighton & Hove,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
E06000023,Bristol,,,113,,30,,0,0,3,0,2,,1,19,0,1,0,4,,8,32,5,5,3,,2,0,2,0,,0,0,0,0,,7,3,18
E07000144,Broadland,,,17,,8,,1,0,0,0,0,,0,7,0,0,0,0,,1,4,0,1,0,,1,0,1,0,,0,0,0,0,,0,0,2
E09000006,Bromley,,,91,,23,,2,0,0,0,2,,1,13,0,0,0,5,,4,37,4,10,1,,9,8,1,0,,0,0,0,0,,0,0,3
E07000234,Bromsgrove,,,30,,4,,0,0,0,0,0,,0,2,0,1,0,1,,1,9,7,4,1,,0,0,0,0,,0,0,0,0,,0,0,4
E07000095,Broxbourne,,,98,,27,,0,0,0,0,8,,0,17,0,0,0,2,,0,35,1,8,5,,11,9,0,2,,3,0,1,2,,3,1,4
E07000172,Broxtowe,,,35,,12,,0,0,1,1,1,,0,6,0,0,0,3,,0,11,3,4,0,,0,0,0,0,,1,0,1,0,,0,0,4
E06000060,Buckinghamshire,,,265,,62,,3,1,4,1,5,,1,35,0,0,1,11,,5,62,27,17,5,,12,8,1,3,,2,0,1,1,,1,0,72
E07000117,Burnley,,,34,,8,,0,0,0,1,1,,1,3,0,0,0,2,,0,5,2,2,1,,1,0,1,0,,2,0,0,2,,0,2,11
E08000002,Bury,,,25,,18,,1,0,2,0,0,,0,12,0,0,0,3,,1,4,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,1
E08000033,Calderdale,,,125,,17,,0,0,1,0,1,,1,9,0,0,1,4,,6,37,12,14,1,,2,1,0,1,,2,0,1,1,,11,8,15
E07000008,Cambridge,,,65,,10,,0,0,0,0,0,,0,7,0,0,0,3,,2,16,2,3,1,,3,2,0,1,,9,0,9,0,,7,0,12
E09000007,Camden,,,51,,7,,0,0,0,0,0,,0,5,0,0,0,2,,3,30,0,3,3,,1,1,0,0,,1,0,1,0,,0,0,3
E07000192,Cannock Chase,,,33,,11,,1,0,0,0,0,,0,8,0,0,0,2,,2,4,6,8,1,,1,0,1,0,,0,0,0,0,,0,0,0
E07000106,Canterbury,,,56,,14,,1,2,0,0,1,,1,9,0,0,0,0,,5,12,5,8,2,,3,0,0,3,,3,0,0,3,,1,0,3
E07000028,Carlisle,,,51,,10,,1,0,2,0,0,,1,5,0,0,0,1,,0,13,8,6,0,,0,0,0,0,,1,0,1,0,,3,0,10
E07000069,Castle Point,,,27,,9,,0,0,0,0,2,,0,4,1,0,0,2,,0,8,2,2,0,,0,0,0,0,,0,0,0,0,,0,0,6
E06000056,Central Bedfordshire,,,167,,42,,0,0,3,0,1,,2,25,0,0,0,11,,3,61,17,18,4,,3,2,0,1,,1,0,0,1,,1,0,17
E07000130,Charnwood,,,20,,10,,1,0,0,0,0,,0,9,0,0,0,0,,0,4,1,3,2,,0,0,0,0,,0,0,0,0,,0,0,0
E07000070,Chelmsford,,,82,,21,,1,0,4,1,1,,1,10,0,0,0,3,,1,27,11,4,1,,10,10,0,0,,1,0,0,1,,1,0,5
E07000078,Cheltenham,,,30,,13,,2,0,2,0,1,,4,4,0,0,0,0,,0,10,1,5,0,,0,0,0,0,,0,0,0,0,,0,0,1
E07000177,Cherwell,,,50,,10,,0,0,0,0,1,,0,9,0,0,0,0,,3,17,5,3,1,,6,5,1,0,,1,0,0,1,,0,0,4
E06000049,Cheshire East,,,164,,36,,0,0,1,0,0,,2,32,0,0,0,1,,3,48,23,11,0,,10,9,0,1,,8,1,5,2,,0,0,25
E06000050,Cheshire West & Chester,,,154,,36,,1,0,2,2,2,,2,24,0,0,0,3,,2,57,15,9,6,,4,2,0,2,,4,0,2,2,,0,0,21
E07000034,Chesterfield,,,80,,20,,0,0,0,0,4,,0,14,1,0,0,1,,1,23,7,12,3,,6,3,1,2,,7,0,6,1,,0,0,1
E07000225,Chichester,,,22,,7,,0,0,0,0,0,,0,6,0,0,0,1,,4,3,4,0,0,,1,0,0,1,,0,0,0,0,,1,0,2
E07000118,Chorley,,,131,,25,,1,0,1,1,5,,2,9,1,0,0,5,,5,36,14,17,3,,17,14,1,2,,4,0,3,1,,0,1,9
E09000001,City of London,,,2,,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,1,1,0,,0,0,0,0,,0,0,0,0,,0,0,0
E07000071,Colchester,,,84,,22,,0,0,0,0,3,,0,17,0,0,0,2,,3,24,11,5,1,,5,2,0,3,,3,0,0,3,,0,0,10
E07000029,Copeland,,,39,,7,,0,0,0,0,0,,0,6,0,1,0,0,,1,13,7,4,1,,1,0,1,0,,0,0,0,0,,3,0,2
