"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, April to June 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E09000015,Harrow,,37,,28,27,1,0,,8,3,4,1,,0,0,0,0,1
E07000089,Hart,,14,,9,9,0,0,,4,0,2,2,,1,0,0,0,0
E06000001,Hartlepool,,38,,9,9,0,0,,29,1,26,2,,0,0,0,0,0
E07000062,Hastings,,45,,25,22,3,0,,15,0,12,3,,2,0,1,2,0
E07000090,Havant,,35,,16,15,1,0,,11,4,6,1,,4,2,0,2,0
E09000016,Havering,,50,,38,31,6,1,,4,1,1,2,,7,0,0,1,0
E06000019,Herefordshire,,35,,15,14,1,0,,13,0,11,2,,4,3,0,0,0
E07000098,Hertsmere,,38,,10,7,3,0,,21,2,15,4,,4,2,0,1,0
E07000037,High Peak,,30,,10,7,3,0,,15,9,3,3,,4,0,1,0,0
E09000017,Hillingdon,,123,,71,64,7,0,,36,31,2,3,,13,0,2,1,0
E07000132,Hinckley & Bosworth,,21,,12,12,0,0,,3,1,2,0,,2,0,1,3,0
E07000227,Horsham,,40,,17,15,1,1,,20,0,20,0,,1,1,0,1,0
E09000018,Hounslow,,..,,..,..,..,..,,..,..,..,..,,..,..,..,..,..
E07000011,Huntingdonshire,,81,,15,13,1,1,,65,0,51,14,,1,0,0,0,0
E07000120,Hyndburn,,17,,12,12,0,0,,4,0,1,3,,1,0,0,0,0
E07000202,Ipswich,,146,,62,45,17,0,,57,16,7,34,,20,5,0,2,0
E06000046,Isle of Wight,,55,,42,35,5,2,,11,0,2,9,,1,0,0,1,0
