"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, October to December 2020",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,,,28970,,5670,,420,60,260,140,470,,170,2990,110,90,120,850,,730,9360,2140,2510,720,,1170,760,130,280,,770,80,290,400,,490,410,4980
E12000007,London,,,5780,,1130,,60,30,30,60,70,,30,550,30,20,10,260,,140,2160,190,450,100,,160,110,20,40,,90,10,30,60,,60,50,1250
-,Rest of England,,,23190,,4540,,360,30,230,90,410,,140,2440,80,70,110,580,,590,7200,1950,2060,620,,1020,660,120,240,,680,70,270,340,,440,370,3730
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,1680,,310,,90,0,20,10,30,,10,110,10,10,0,30,,20,490,180,230,80,,40,10,10,20,,40,10,20,20,,50,60,190
E12000002,North West,,,3820,,650,,30,0,30,10,60,,20,370,20,10,10,90,,80,1250,320,340,90,,210,150,10,40,,80,10,30,40,,70,100,640
E12000003,Yorkshire and The Humber,,,3200,,520,,30,0,30,10,20,,20,300,10,20,40,50,,50,1110,270,350,130,,90,20,20,50,,140,10,40,90,,70,120,350
E12000004,East Midlands,,,2260,,480,,40,0,20,10,40,,10,250,20,0,10,70,,30,720,200,210,60,,100,70,20,20,,90,10,40,50,,60,30,300
E12000005,West Midlands,,,2130,,360,,20,0,20,0,20,,10,220,10,10,10,40,,60,670,160,200,70,,90,60,10,20,,50,10,20,30,,30,40,410
E12000006,East of England,,,2960,,590,,40,10,30,10,50,,20,330,10,10,10,80,,100,960,260,200,70,,190,140,20,40,,110,10,40,60,,50,10,430
E12000007,London,,,5780,,1130,,60,30,30,60,70,,30,550,30,20,10,260,,140,2160,190,450,100,,160,110,20,40,,90,10,30,60,,60,50,1250
E12000008,South East,,,4220,,940,,60,0,50,30,120,,50,500,10,10,10,120,,160,1260,350,290,80,,170,120,20,30,,60,10,20,30,,50,10,860
E12000009,South West,,,2910,,680,,50,0,30,10,60,,30,380,10,10,20,100,,100,750,220,240,40,,130,70,20,40,,100,10,50,40,,70,10,570
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,Adur,,,9,,3,,0,0,0,0,0,,0,2,0,0,0,1,,0,3,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,2
E07000026,Allerdale,,,19,,2,,0,0,0,0,1,,0,1,0,0,0,0,,0,6,3,2,0,,0,0,0,0,,0,0,0,0,,0,0,6
E07000032,Amber Valley,,,57,,12,,0,0,0,0,0,,0,11,1,0,0,0,,0,17,13,6,2,,0,0,0,0,,3,0,1,2,,0,0,4
E07000224,Arun,,,76,,23,,0,0,1,1,2,,0,18,0,0,0,1,,4,32,6,3,0,,2,1,0,1,,0,0,0,0,,0,0,6
E07000170,Ashfield,,,30,,6,,0,0,0,1,0,,0,2,0,0,0,3,,0,13,1,3,0,,0,0,0,0,,0,0,0,0,,0,0,7
E07000105,Ashford,,,75,,8,,0,0,0,1,0,,0,5,0,0,1,1,,4,20,7,20,5,,0,0,0,0,,0,0,0,0,,2,0,9
E07000200,Babergh,,,58,,6,,1,0,0,0,1,,1,1,0,0,0,2,,2,21,10,3,2,,3,2,1,0,,0,0,0,0,,1,0,10
E09000002,Barking and Dagenham,,,227,,44,,1,0,1,0,4,,3,30,0,1,0,4,,6,107,6,10,6,,1,0,1,0,,8,1,0,7,,1,7,31
E09000003,Barnet,,,207,,47,,2,1,4,1,2,,1,17,0,3,0,16,,4,44,0,30,2,,0,0,0,0,,2,0,0,2,,0,0,78
