"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, April to June 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,17130,,6560,5560,840,160,,7220,1750,3610,1860,,1750,550,110,360,580
E12000007,London,,3470,,1970,1660,260,50,,640,240,180,220,,360,100,10,80,310
-,Rest of England,,13650,,4590,3900,580,110,,6580,1510,3420,1650,,1390,450,100,270,270
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,980,,250,240,10,0,,600,210,270,110,,80,40,10,10,10
E12000002,North West,,2180,,610,540,60,10,,1290,120,910,270,,180,40,20,20,30
E12000003,Yorkshire and The Humber,,2360,,630,540,80,10,,930,270,270,400,,480,230,20,30,40
E12000004,East Midlands,,1450,,400,340,50,10,,800,290,340,180,,150,40,10,40,10
E12000005,West Midlands,,1230,,280,210,60,0,,670,190,340,140,,80,10,10,60,120
E12000006,East of England,,1610,,610,480,110,20,,770,210,400,160,,140,30,10,30,20
E12000007,London,,3470,,1970,1660,260,50,,640,240,180,220,,360,100,10,80,310
E12000008,South East,,2260,,1140,970,130,30,,810,140,490,180,,190,40,10,40,20
