"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled home
England, July to September 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,End of private rented tenancy - assured shorthold,,,,,,,,,,,,,,,End of private rented tenancy - not assured shorthold,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,End of social rented tenancy,,,,,Eviction from supported housing,,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,"Total end
 of AST",,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,"Increase
 in rent  ",Reduction in employment income,"Changes
 in benefit entitlement",Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,,,"34,130",,"13,440",,690,160,230,190,700,,260,"8,650",170,90,110,"2,190",,"1,540","8,650","1,750","2,420",590,,"1,660","1,080",140,430,,"1,290",160,420,700,,740,450,"1,600"
E12000007,London,,,"5,940",,"2,300",,140,40,50,90,100,,40,"1,310",30,20,10,470,,350,"1,640",150,270,110,,410,340,10,60,,160,10,40,110,,70,60,430
-,Rest of England,,,"28,180",,"11,140",,560,120,180,90,600,,220,"7,340",140,60,100,"1,720",,"1,190","7,010","1,600","2,150",490,,"1,250",750,130,370,,"1,130",150,380,600,,670,390,"1,180"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,"2,600",,770,,60,10,0,10,40,,10,470,10,10,10,140,,40,730,230,260,100,,120,70,10,40,,80,10,30,50,,70,80,120
E12000002,North West,,,"4,750",,"2,010",,60,20,30,10,120,,50,"1,340",40,10,20,310,,220,"1,210",250,340,50,,200,130,10,60,,130,10,50,80,,80,90,180
E12000003,Yorkshire and The Humber,,,"3,760",,"1,270",,70,10,20,10,50,,20,840,10,10,20,200,,90,960,230,330,80,,140,70,20,50,,260,50,110,110,,170,110,110
E12000004,East Midlands,,,"2,820",,"1,220",,70,20,30,10,50,,10,810,20,10,10,190,,70,700,170,210,40,,110,60,10,40,,130,10,40,80,,60,30,80
E12000005,West Midlands,,,"2,450",,930,,40,10,10,10,40,,10,650,10,10,10,130,,110,610,130,230,70,,80,40,10,20,,120,10,30,80,,20,30,140
E12000006,East of England,,,"3,460",,"1,390",,70,10,30,10,90,,30,900,20,10,10,210,,160,920,170,220,50,,200,140,20,50,,130,30,30,70,,70,20,140
E12000007,London,,,"5,940",,"2,300",,140,40,50,90,100,,40,"1,310",30,20,10,470,,350,"1,640",150,270,110,,410,340,10,60,,160,10,40,110,,70,60,430
E12000008,South East,,,"4,950",,"2,040",,120,20,40,20,130,,60,"1,280",20,10,10,330,,340,"1,210",250,310,70,,250,170,30,60,,130,20,50,60,,100,10,240
E12000009,South West,,,"3,380",,"1,500",,60,10,20,10,60,,40,"1,060",20,0,10,210,,160,680,170,250,30,,140,70,20,50,,150,20,50,80,,110,20,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,Adur,,,13,,7,,0,0,0,0,0,,0,6,0,0,0,1,,1,2,1,2,0,,0,0,0,0,,0,0,0,0,,0,0,0
E07000026,Allerdale,,,58,,26,,2,0,0,0,1,,2,18,0,0,1,2,,2,9,5,4,1,,4,1,0,3,,1,0,0,1,,0,0,6
E07000032,Amber Valley,,,83,,24,,0,0,0,0,0,,0,21,0,0,0,3,,1,32,7,15,0,,1,0,0,1,,2,1,1,0,,0,0,1
E07000224,Arun,,,93,,59,,6,0,1,2,3,,3,37,0,0,0,7,,3,17,3,1,3,,2,0,1,1,,3,0,2,1,,0,0,2
E07000170,Ashfield,,,32,,22,,0,0,0,0,3,,0,18,0,0,0,1,,2,3,1,0,0,,1,0,0,1,,0,0,0,0,,0,0,3
E07000105,Ashford,,,80,,42,,1,0,2,0,3,,1,24,0,0,0,11,,10,15,6,1,2,,0,0,0,0,,1,0,0,1,,2,0,1
E07000200,Babergh,,,55,,22,,1,0,0,0,2,,0,13,0,1,0,5,,1,6,4,7,2,,11,6,1,4,,0,0,0,0,,0,0,2
